Model,Method,K (%),Image Idx,Label,Certified (%),Abstained (%),Certified-1 (%),Certified-0 (%),Radius
resnet18,LRP,25,7,5,40.00,60.00,1.44,38.56,0.1012
resnet18,LRP,5,0,5,85.03,14.97,0.13,84.90,0.1012
resnet18,LRP,5,3,4,85.67,14.33,0.04,85.63,0.1012
resnet18,LRP,5,4,6,87.63,12.37,0.05,87.58,0.1012
resnet18,LRP,5,5,2,87.07,12.93,0.11,86.95,0.1012
resnet18,LRP,5,7,5,86.81,13.19,0.01,86.80,0.1012
resnet50,GradCAM,50,1,5,92.13,7.87,45.96,46.17,0.1012
resnet50,GradCAM,50,9,5,83.20,16.80,41.58,41.61,0.1012
resnet50,GradCAM,50,15,0,100.00,0.00,100.00,0.00,0.1012
resnet50,GradCAM,50,27,5,84.87,15.13,42.10,42.77,0.1012
resnet50,GradCAM,50,29,7,100.00,0.00,100.00,0.00,0.1012
resnet50,GradCAM,25,1,5,89.67,10.33,19.78,69.88,0.1012
resnet50,GradCAM,25,9,5,80.42,19.58,15.57,64.86,0.1012
resnet50,GradCAM,25,15,0,14.88,85.12,14.88,0.00,0.1012
resnet50,GradCAM,25,27,5,77.98,22.02,13.73,64.26,0.1012
resnet50,GradCAM,25,29,7,77.71,22.29,13.38,64.33,0.1012
resnet50,GradCAM,5,1,5,94.93,5.07,2.62,92.31,0.1012
resnet50,GradCAM,5,9,5,88.71,11.29,0.00,88.70,0.1012
resnet50,GradCAM,5,15,0,89.81,10.19,0.14,89.67,0.1012
resnet50,GradCAM,5,27,5,85.50,14.50,0.00,85.50,0.1012
resnet50,GradCAM,5,29,7,88.89,11.11,0.00,88.89,0.1012
resnet50,IntegratedGradients,50,1,5,9.41,90.59,0.36,9.05,0.1012
resnet50,IntegratedGradients,50,9,5,11.88,88.12,0.50,11.37,0.1012
resnet50,IntegratedGradients,50,15,0,47.59,52.41,17.61,29.99,0.1012
resnet50,IntegratedGradients,50,27,5,11.33,88.67,0.41,10.92,0.1012
resnet50,IntegratedGradients,50,29,7,11.94,88.06,1.95,9.98,0.1012
resnet50,IntegratedGradients,25,1,5,29.59,70.41,0.00,29.59,0.1012
resnet50,IntegratedGradients,25,9,5,31.17,68.83,0.00,31.17,0.1012
resnet50,IntegratedGradients,25,15,0,47.97,52.03,0.07,47.91,0.1012
resnet50,IntegratedGradients,25,27,5,30.80,69.20,0.00,30.79,0.1012
resnet50,IntegratedGradients,25,29,7,30.85,69.15,0.08,30.77,0.1012
resnet50,IntegratedGradients,5,1,5,85.30,14.70,0.00,85.30,0.1012
resnet50,IntegratedGradients,5,9,5,85.78,14.22,0.00,85.78,0.1012
resnet50,IntegratedGradients,5,15,0,84.88,15.12,0.00,84.88,0.1012
resnet50,IntegratedGradients,5,27,5,85.31,14.69,0.00,85.31,0.1012
resnet50,IntegratedGradients,5,29,7,86.65,13.35,0.00,86.65,0.1012
resnet50,RISE,50,1,5,0.00,100.00,0.00,0.00,0.1012
resnet50,RISE,50,9,5,0.00,100.00,0.00,0.00,0.1012
resnet50,RISE,50,15,0,0.00,100.00,0.00,0.00,0.1012
resnet50,RISE,50,27,5,0.00,100.00,0.00,0.00,0.1012
resnet50,RISE,50,29,7,0.00,100.00,0.00,0.00,0.1012
resnet50,RISE,25,1,5,2.08,97.92,0.00,2.08,0.1012
resnet50,RISE,25,9,5,1.67,98.33,0.00,1.67,0.1012
resnet50,RISE,25,15,0,8.96,91.04,0.00,8.96,0.1012
resnet50,RISE,25,27,5,4.94,95.06,0.00,4.94,0.1012
resnet50,RISE,25,29,7,2.01,97.99,0.00,2.01,0.1012
resnet50,RISE,5,1,5,93.02,6.98,0.00,93.02,0.1012
resnet50,RISE,5,9,5,92.49,7.51,0.00,92.49,0.1012
resnet50,RISE,5,15,0,91.68,8.32,0.00,91.68,0.1012
resnet50,RISE,5,27,5,91.65,8.35,0.00,91.65,0.1012
resnet50,RISE,5,29,7,92.63,7.37,0.00,92.63,0.1012
resnet50,Occlusion,50,1,5,56.60,43.40,28.83,27.77,0.1012
resnet50,Occlusion,50,9,5,46.14,53.86,23.60,22.53,0.1012
resnet50,Occlusion,50,15,0,61.55,38.45,30.29,31.25,0.1012
resnet50,Occlusion,50,27,5,45.81,54.19,22.78,23.03,0.1012
resnet50,Occlusion,50,29,7,36.67,63.33,19.18,17.49,0.1012
resnet50,Occlusion,25,1,5,77.21,22.79,14.65,62.56,0.1012
resnet50,Occlusion,25,9,5,61.81,38.19,7.31,54.50,0.1012
resnet50,Occlusion,25,15,0,69.53,30.47,10.97,58.56,0.1012
resnet50,Occlusion,25,27,5,65.26,34.74,9.59,55.67,0.1012
resnet50,Occlusion,25,29,7,60.14,39.86,7.92,52.22,0.1012
resnet50,Occlusion,5,1,5,93.81,6.19,2.22,91.59,0.1012
resnet50,Occlusion,5,9,5,91.35,8.65,1.07,90.28,0.1012
resnet50,Occlusion,5,15,0,91.81,8.19,1.28,90.53,0.1012
resnet50,Occlusion,5,27,5,94.17,5.83,2.41,91.77,0.1012
resnet50,Occlusion,5,29,7,95.68,4.32,2.87,92.81,0.1012
resnet50,LRP,50,1,5,55.89,44.11,25.85,30.04,0.1012
resnet50,LRP,50,9,5,44.38,55.62,19.34,25.04,0.1012
resnet50,LRP,50,15,0,23.66,76.34,10.24,13.42,0.1012
resnet50,LRP,50,27,5,29.11,70.89,10.95,18.16,0.1012
resnet50,LRP,50,29,7,32.49,67.51,13.41,19.08,0.1012
resnet50,LRP,25,1,5,53.81,46.19,2.20,51.61,0.1012
resnet50,LRP,25,9,5,48.71,51.29,1.63,47.08,0.1012
resnet50,LRP,25,15,0,29.48,70.52,0.31,29.18,0.1012
resnet50,LRP,25,27,5,40.33,59.67,0.54,39.79,0.1012
resnet50,LRP,25,29,7,43.92,56.08,0.90,43.02,0.1012
resnet50,LRP,5,1,5,84.34,15.66,0.00,84.34,0.1012
resnet50,LRP,5,9,5,84.54,15.46,0.02,84.53,0.1012
resnet50,LRP,5,15,0,87.76,12.24,0.00,87.76,0.1012
resnet50,LRP,5,27,5,85.11,14.89,0.00,85.11,0.1012
resnet50,LRP,5,29,7,84.71,15.29,0.00,84.71,0.1012
